"","Player_Name","DOB","Position"
"1738","Samu Castillejo","1995-01-18","RM"
"1739","Maxi Gómez","1996-08-13","RW"
"1740","Nicolás González","2002-01-03","LM"
"1741","Nicolás González","2002-01-03","RM"
"1742","Dimitri Foulquier","1993-03-22","RB"
"1743","Maranhão","1996-10-19","FW"
"1744","Koke","1992-01-08","DM"
"1745","Nahuel Molina","1998-04-06","RW"
"1746","Yannick Carrasco","1993-09-04","LW"
"1747","José María Giménez","1995-01-20","CB"
"1748","Giovani Lo Celso","1996-04-08","LM"
"1749","Francis Coquelin","1991-05-13","CM"
"1750","Aihen Muñoz","1997-08-15","LB"
"1751","Mohamed Ali Cho","2004-01-19","FW"
"1752","Andoni Gorosabel","1996-08-03","RB"
"1753","Beñat Turrientes","2002-01-31","AM"
"1754","Roberto Navarro","2002-04-12","LM"
"1755","Roberto Navarro","2002-04-12","FW"
"1756","Pedri","2002-11-25","DM"
"1757","Pedri","2002-11-25","CM"
"1758","Ferrán Torres","2000-02-29","CM"
"1759","Frenkie de Jong","1997-05-11","DM"
"1760","Eric García","2001-01-08","LB"
"1761","Alejandro Balde","2003-10-18","LW"
"1762","Gavi","2004-08-04","CM"
"1763","Gavi","2004-08-04","DM"
"1764","Ansu Fati","2002-10-31","LW"
"1765","Ansu Fati","2002-10-31","CM"
"1766","Jordi Alba","1989-03-20","LW"
"1767","Franck Kessié","1996-12-18","RM"
"1768","Sergi Roberto","1992-02-07","CM"
"1769","Tete Morente","1996-12-03","LM"
"1770","Álex Collado","1999-04-22","RM"
"1771","Pol Lirola","1997-08-12","RB"
"1772","Javier Pastore","1989-06-19","LM"
"1773","Lucas Boyé","1996-02-28","FW"
"1774","Pere Milla","1992-09-22","FW"
"1775","Domingos Quina","1999-11-18","CM"
"1776","Josan","1989-12-03","RM"
"1777","Lucas Robertone","1997-03-17","AM"
"1778","Sergio Akieme","1997-12-16","WB"
"1779","Arnau Puigmal","2001-01-09","WB"
"1780","Francisco Portillo","1990-06-13","FW"
"1781","Léo Baptistão","1992-08-25","AM"
"1782","Juan Brandáriz","1999-03-02","WB"
"1783","Miguel Gutiérrez","2001-07-26","LW"
"1784","Aleix García","1997-06-27","DM"
"1785","Rodrigo Riquelme","2000-04-01","CM"
"1786","Yan Couto","2002-06-03","RW"
"1787","Yangel Herrera","1998-01-07","CM"
"1788","Samuel Sáiz","1991-01-22","CM"
"1789","Samuel Sáiz","1991-01-22","LM"
"1790","Javi","1998-05-02","LW"
"1791","Javi","1998-05-02","LB"
"1792","Reinier","2002-01-19","FW"
"1793","Carles Aleñá","1998-01-05","LM"
"1794","Portu","1992-05-20","RM"
"1795","David López","1989-10-09","CM"
"1796","Oscar Ureña","2003-01-01","LM"
"1797","Ramón Terrats","2000-10-17","RM"
"1798","Samuel Sáiz","1991-01-22","RM"
"1799","Reinier","2002-01-19","LM"
"1800","Casals","2005-06-06","MF"
"1801","Óscar Rodríguez Arnaiz","1998-06-28","RM"
"1802","Gonçalo Paciência","1994-08-01","RM"
"1803","Augusto Solari","1992-01-03","FW"
"1804","Carlos Dominguez","2001-02-10","LM"
"1805","Gabriel Veiga","2002-05-27","DM"
"1806","Sergio Canales","1991-02-16","LW"
"1807","Sergio Canales","1991-02-16","RW"
"1808","Luiz Henrique","2001-01-01","RW"
"1809","Andrés Guardado","1986-09-28","DM"
"1810","Luiz Felipe","1997-03-21","CB"
"1811","Moi Gómez","1994-06-23","CM"
"1812","Kike Barja","1997-03-31","LM"
"1813","Raúl Guti","1996-12-29","CM"
"1814","Mikel Merino","1996-06-21","RM"
"1815","Asier Illarramendi","1990-03-08","LM"
"1816","Aritz Elustondo","1994-03-28","CB"
"1817","Ander Barrenetxea","2001-12-27","FW"
"1818","Jon Pacheco","2001-01-07","CB"
"1819","Santi Comesaña","1996-10-04","DM"
"1820","Santi Comesaña","1996-10-04","AM"
"1821","Bebé","1990-07-12","RW"
"1822","Randy Ntekja","1997-12-06","FW"
"1823","José Pozo","1996-03-14","DM"
"1824","Sergio Camello","2001-02-09","AM"
"1825","Sergio Camello","2001-02-09","DM"
"1826","Iñigo Ruiz de Galarreta","1993-08-05","CM"
"1827","Javier Llabrés","2022-08-27","FW"
"1828","Alejandro Pozo Pozo","1999-02-22","WB"
"1829","César de la Hoz","1992-03-29","CM"
"1830","Curro","1996-01-03","AM"
"1831","Léo Baptistão","1992-08-25","FW"
"1832","Juan Brandáriz","1999-03-02","CB"
"1833","Houboulang Mendes","1998-05-04","WB"
"1834","Joan Jordán","1994-07-06","DM"
"1835","Érik Lamela","1992-03-03","FW"
"1836","Fernando","1987-07-25","CB"
"1837","Óliver Torres","1994-11-10","AM"
"1838","Papu Gómez","1988-02-15","DM"
"1839","Lucas Ocampos","1994-07-11","AM"
"1840","Isco","1992-04-20","AM"
"1841","Carmona","2002-01-29","RB"
"1842","Carmona","2002-01-29","CB"
"1843","Gastón Álvarez","2000-03-23","LB"
"1844","Portu","1992-05-20","LM"
"1845","Carles Aleñá","1998-01-05","RM"
"1846","Latasa","2001-03-22","FW"
"1847","Kiko Femenía","1991-02-02","RB"
"1848","Jules Koundé","1998-11-12","RB"
"1849","Jules Koundé","1998-11-12","CB"
"1850","Alejandro Balde","2003-10-18","LB"
"1851","Ferrán Torres","2000-02-29","RW"
"1852","Jordi Masip","1989-01-02","GK"
"1853","Anuar","1995-01-15","LM"
"1854","Óscar Plano","1991-02-11","FW"
"1855","Toni Villa","1995-01-07","RM"
"1856","Roberto Arroyo","2003-08-25","LM"
"1857","Vinicius Souza","1999-06-17","DM"
"1858","Keidi Bare","1997-08-27","DM"
"1859","Keidi Bare","1997-08-27","CM"
"1860","Dani Gómez","1998-07-30","FW"
"1861","Dani Gómez","1998-07-30","CM"
"1862","Nico Ribaudo","2001-04-10","LM"
"1863","Rodrygo","2001-01-08","RW"
"1864","Fali","1993-08-11","CB"
"1865","Blanco","2000-07-22","CM"
"1866","Álex Fernández","1992-10-14","CM"
"1867","Iñigo Lekue","1993-05-03","LB"
"1868","Jon Morcillo","1998-09-15","RM"
"1869","Jon Morcillo","1998-09-15","LW"
"1870","Gorka Guruzeta","1996-09-11","FW"
"1871","Dani García","1990-05-24","CM"
"1872","Dani García","1990-05-24","DM"
"1873","Raúl García","1986-07-11","RW"
"1874","Aitor Paredes","2000-04-28","LB"
"1875","Yunus Musah","2002-11-29","DM"
"1876","Hugo Guillamón","2000-01-31","DM"
"1877","Carlos Soler","1997-01-01","AM"
"1878","Samuel","1999-12-23","WB"
"1879","Nicolás González","2002-01-03","DM"
"1880","Francisco Perez","2002-09-09","WB"
"1881","Francisco Perez","2002-09-09","RW"
"1882","Diego Noguerol","2002-05-13","FW"
"1883","Diego Noguerol","2002-05-13","LB"
"1884","Geoffrey Kondogbia","1993-02-14","CM"
"1885","Marcos Llorente","1995-01-30","RB"
"1886","Óscar Mingueza","1999-05-13","RB"
"1887","Jørgen Strand Larsen","2000-02-06","FW"
"1888","Augusto Solari","1992-01-03","LM"
"1889","Luca de la Torre","1998-05-23","CM"
"1890","Brian Ocampo","1999-06-25","LM"
"1891","Fede San Emeterio","1997-03-15","DM"
"1892","Rubén Sobrino","1992-05-31","RM"
"1893","Theo Bongonda","1995-11-20","LM"
"1894","Theo Bongonda","1995-11-20","DM"
"1895","Álvaro Giménez","1991-05-19","FW"
"1896","Miguel Gutiérrez","2001-07-26","LM"
"1897","Arnau Martinez","2003-04-25","RM"
"1898","Rodrigo Riquelme","2000-04-01","LW"
"1899","Rodrigo Riquelme","2000-04-01","RW"
"1900","Reinier","2002-01-19","RW"
"1901","Bernardo Espinosa","1989-07-10","LM"
"1902","Samuel Sáiz","1991-01-22","RW"
"1903","Toni Villa","1995-01-07","LW"
"1904","Javi","1998-05-02","CB"
"1905","Manu Vallejo","1997-02-13","FW"
"1906","Guido Rodríguez","1994-04-12","CM"
"1907","Sergio Canales","1991-02-16","AM"
"1908","Sergio Canales","1991-02-16","CM"
"1909","Youssouf Sabaly","1993-03-04","RB"
"1910","Luiz Henrique","2001-01-01","RM"
"1911","Luiz Henrique","2001-01-01","AM"
"1912","Willian José","1991-11-23","FW"
"1913","Willian José","1991-11-23","DM"
"1914","Joaquín","1981-07-20","LM"
"1915","Joaquín","1981-07-20","LW"
"1916","Alexander Sørloth","1995-12-05","FW"
"1917","Alex Sola","1999-06-09","RB"
"1918","Takefusa Kubo","2001-06-03","AM"
"1919","Marcos Llorente","1995-01-30","RW"
"1920","Saúl Ñíguez","1994-11-21","CM"
"1921","Reinildo Mandava","1994-01-21","LW"
"1922","Ivo Grbić","1996-01-18","GK"
"1923","Geoffrey Kondogbia","1993-02-14","DM"
"1924","Mario Hermoso","1995-06-18","CB"
"1925","Mario Hermoso","1995-06-18","LW"
"1926","Gonzalo Montiel","1996-12-31","RM"
"1927","Nemanja Gudelj","1991-11-16","CM"
"1928","Kasper Dolberg","1997-10-06","FW"
"1929","Suso","1993-11-19","RM"
"1930","Thomas Delaney","1991-09-03","CM"
"1931","Ferrán Torres","2000-02-29","LW"
"1932","Frenkie de Jong","1997-05-11","LM"
"1933","Abdessamad Ezzalzouli","2001-12-17","LM"
"1934","Abdessamad Ezzalzouli","2001-12-17","CM"
"1935","Pablo Ibáñez","1998-09-20","LM"
"1936","Pep Chavarría","1998-04-10","LB"
"1937","Álex Berenguer","1995-07-04","RW"
"1938","Jon Morcillo","1998-09-15","LB"
"1939","Raúl García","1986-07-11","AM"
"1940","Álvaro Fernández","1998-04-13","GK"
"1941","Javi Puado","1998-05-25","RW"
"1942","Brian Oliván","1994-04-01","CB"
"1943","Martin Braithwaite","1991-06-05","LW"
"1944","Martin Braithwaite","1991-06-05","LM"
"1945","José Carlos Lazo","1996-02-16","RM"
"1946","José Carlos Lazo","1996-02-16","RW"
"1947","Dani Gómez","1998-07-30","LM"
"1948","Omar El Hilali","2003-09-12","LB"
"1949","Omar El Hilali","2003-09-12","CB"
"1950","Wassim Boullif","2005-02-02","CB"
"1951","Wassim Boullif","2005-02-02","CM"
"1952","Raúl Albiol","1985-09-03","CB"
"1953","Giovani Lo Celso","1996-04-08","FW"
"1954","Alex Baena","2001-07-19","FW"
"1955","Álex Collado","1999-04-22","LM"
"1956","Carlos Clerc","1992-02-21","LB"
"1957","Domingos Quina","1999-11-18","FW"
"1958","Domingos Quina","1999-11-18","LM"
"1959","Yunus Musah","2002-11-29","RW"
"1960","Ilaix Moriba","2003-01-19","LM"
"1961","Ilaix Moriba","2003-01-19","RW"
"1962","Domingos André Ribeiro Almeida","2000-05-29","RM"
"1963","Domingos André Ribeiro Almeida","2000-05-29","LM"
"1964","Dimitri Foulquier","1993-03-22","LB"
"1965","Gastón Álvarez","2000-03-23","CB"
"1966","Munir El Haddadi","1995-09-01","CM"
"1967","Kike Pérez","1997-02-13","RM"
"1968","Óscar Plano","1991-02-11","LW"
"1969","Sergio Escudero","1989-09-01","LB"
"1970","Iván Sánchez","1992-09-22","LW"
"1971","Sergio León","1989-01-05","LW"
"1972","Monchu","1999-09-13","CM"
"1973","Monchu","1999-09-13","RM"
"1974","Shon Weissman","1996-02-14","FW"
"1975","Gonzalo Plata","2000-10-31","RW"
"1976","Juanjo Narváez","1995-02-12","LM"
"1977","César de la Hoz","1992-03-29","DM"
"1978","Largie Ramazani","2001-02-26","LW"
"1979","Largie Ramazani","2001-02-26","RW"
"1980","Léo Baptistão","1992-08-25","RW"
"1981","Léo Baptistão","1992-08-25","LW"
"1982","Alejandro Pozo Pozo","1999-02-22","RB"
"1983","Samu Costa","2000-11-26","DM"
"1984","Kaiky","2004-01-12","DM"
"1985","Francisco Portillo","1990-06-13","RW"
"1986","Adri Embarba","1992-05-06","AM"
"1987","Marko Milovanović","2003-08-04","FW"
"1988","Bernardo Espinosa","1989-07-10","CB"
"1989","Miguel Gutiérrez","2001-07-26","WB"
"1990","Arnau Martinez","2003-04-25","WB"
"1991","Oriol Romeu","1991-09-24","DM"
"1992","Reinier","2002-01-19","AM"
"1993","Reinier","2002-01-19","LW"
"1994","Samuel Sáiz","1991-01-22","FW"
"1995","Javi","1998-05-02","FW"
"1996","Manu Vallejo","1997-02-13","RW"
"1997","Manu Vallejo","1997-02-13","RM"
"1998","Roque Mesa","1989-06-06","DM"
"1999","Kenedy","1996-02-08","RM"
"2000","Iván Fresneda","2004-09-27","RB"
"2001","Radamel Falcao","1986-02-10","DM"
"2002","Randy Ntekja","1997-12-06","RW"
"2003","Unai López","1995-10-30","AM"
"2004","Pathé Ciss","1994-03-16","FW"
"2005","Yunus Musah","2002-11-29","AM"
"2006","José Luis Gayà","1995-05-25","LB"
"2007","Justin Kluivert","1999-05-05","FW"
"2008","Domingos André Ribeiro Almeida","2000-05-29","DM"
"2009","Maranhão","1996-10-19","AM"
"2010","Sergi Darder","1993-12-22","AM"
"2011","Martin Braithwaite","1991-06-05","FW"
"2012","Edu Expósito","1996-07-31","DM"
"2013","Dani Gómez","1998-07-30","RM"
"2014","Dani Gómez","1998-07-30","RW"
"2015","Nico Ribaudo","2001-04-10","RB"
"2016","Omar El Hilali","2003-09-12","LM"
"2017","Rubén","2001-02-03","RB"
"2018","Joan Jordán","1994-07-06","CM"
"2019","Youssef En-Nesyri","1997-05-31","RW"
"2020","Óliver Torres","1994-11-10","LW"
"2021","Enrique Valiente","2002-04-23","CB"
"2022","Carmona","2002-01-29","WB"
"2023","Alex Telles","1992-12-14","WB"
"2024","Ivan Rakitić","1988-03-09","CM"
"2025","Jesús Navas","1985-11-21","WB"
"2026","Mamadou Mbaye","1998-06-28","CB"
"2027","Rubén Sobrino","1992-05-31","AM"
"2028","Rubén Sobrino","1992-05-31","RW"
"2029","Álex Fernández","1992-10-14","DM"
"2030","Iván Alejo","1995-02-10","RW"
"2031","Brian Ocampo","1999-06-25","LW"
"2032","Brian Ocampo","1999-06-25","RW"
"2033","Rubén Alcaraz","1991-05-01","DM"
"2034","Theo Bongonda","1995-11-20","AM"
"2035","Theo Bongonda","1995-11-20","RW"
"2036","Tomás Alarcón","1999-01-19","DM"
"2037","Awer Mabil","1995-09-15","LW"
"2038","Awer Mabil","1995-09-15","FW"
"2039","Álvaro Negredo","1985-08-19","RW"
"2040","Héctor Bellerín","1995-03-19","RB"
"2041","Gerard Piqué","1987-02-02","CB"
"2042","Memphis","1994-02-13","FW"
"2043","Gavi","2004-08-04","LM"
"2044","Marcos Alonso","1990-12-28","LB"
"2045","Yannick Carrasco","1993-09-03","LB"
"2046","João Félix","1999-11-10","LM"
"2047","Antoine Griezmann","1991-03-21","FW"
"2048","Antoine Griezmann","1991-03-21","RM"
"2049","Matheus Cunha","1999-05-27","CM"
"2050","Saúl Ñíguez","1994-11-21","LM"
"2051","Carles Pérez","1998-02-16","RM"
"2052","Augusto Solari","1992-01-03","DM"
"2053","Gabriel Veiga","2002-05-27","RM"
"2054","Eden Hazard","1991-01-07","FW"
"2055","Rodrygo","2001-01-08","FW"
"2056","Luka Modrić","1985-09-08","RM"
"2057","Matija Nastasić","1993-03-27","CB"
"2058","Lago Junior","1990-12-31","FW"
"2059","Pere Milla","1992-09-22","LW"
"2060","Pere Milla","1992-09-22","RM"
"2061","Domingos Quina","1999-11-18","AM"
"2062","Álex Collado","1999-04-22","RW"
"2063","Gerard Gumbau","1994-12-18","DM"
"2064","Omar Mascarell","1993-02-01","DM"
"2065","Nicolás Ezequiel Fernández","2000-01-11","LB"
"2066","Fidel","1989-10-27","RW"
"2067","Fidel","1989-10-27","LM"
"2068","Josan","1989-12-03","RB"
"2069","Ezequiel Ponce","1997-03-28","DM"
"2070","Iñigo Martínez","1991-05-17","CB"
"2071","Oier Zarraga","1999-01-04","RW"
"2072","Raúl García","1986-07-11","DM"
"2073","Ángel Algobia","1999-06-23","CM"
"2074","Damián Suárez","1988-04-26","RB"
"2075","Munir El Haddadi","1995-09-01","FW"
"2076","Iglesias","1998-07-03","LB"
"2077","Beñat Turrientes","2002-01-31","LM"
"2078","Sergio Canales","1991-02-16","FW"
"2079","William Carvalho","1992-04-06","CM"
"2080","Rodrigo","2000-05-15","LW"
"2081","Andrés Guardado","1986-09-28","LM"
"2082","Aitor Ruibal","1996-03-21","LW"
"2083","Aitor Ruibal","1996-03-21","RM"
"2084","Lucas Robertone","1997-03-17","RM"
"2085","Lucas Robertone","1997-03-17","LM"
"2086","Samu Costa","2000-11-26","LM"
"2087","El Bilal Touré","2001-10-03","FW"
"2088","Lázaro","2002-03-12","LM"
"2089","Marko Milovanović","2003-08-04","LW"
"2090","Arnau Puigmal","2001-01-09","RM"
"2091","Darko Brašanac","1992-02-12","DM"
"2092","Darko Brašanac","1992-02-12","AM"
"2093","Ezequiel Ávila","1994-02-06","RW"
"2094","Rubén García","1993-07-13","AM"
"2095","Moi Gómez","1994-06-23","LW"
"2096","Moi Gómez","1994-06-23","RW"
"2097","Jon Moncayola","1998-05-13","DM"
"2098","Kike Barja","1997-03-31","RW"
"2099","Abdessamad Ezzalzouli","2001-12-17","LW"
"2100","Pablo Ibáñez","1998-09-20","AM"
"2101","Mickael Malsa","1995-10-12","CM"
"2102","Sergi Guardiola","1991-05-29","RW"
"2103","Juanjo Narváez","1995-02-12","LW"
"2104","Rubén Sobrino","1992-05-31","LW"
"2105","Álex Fernández","1992-10-14","AM"
"2106","Isaac Carcelen","1993-04-22","RB"
"2107","José Mari","1987-12-06","DM"
"2108","Ángel Rodríguez","1987-04-26","FW"
"2109","Lázaro","2002-03-12","CM"
"2110","Gonzalo Melero","1994-01-02","CM"
"2111","Francisco Portillo","1990-06-13","CM"
"2112","Adri Embarba","1992-05-06","CB"
"2113","Dyego Sousa","1989-09-13","FW"
"2114","Arnau Puigmal","2001-01-09","RB"
"2115","Memphis","1994-02-13","LW"
"2116","Ferrán Torres","2000-02-29","FW"
"2117","Gonzalo Verdú","1988-10-20","CB"
"2118","Tete Morente","1996-12-03","RB"
"2119","Helibelton Palacios","1993-06-10","CB"
"2120","Nicolás Ezequiel Fernández","2000-01-11","CM"
"2121","Edinson Cavani","1987-02-14","FW"
"2122","Justin Kluivert","1999-05-05","RW"
"2123","Iñigo Lekue","1993-05-03","LW"
"2124","Ander Herrera","1989-08-13","DM"
"2125","Aitor Paredes","2000-04-28","LW"
"2126","Bebé","1990-07-12","AM"
"2127","Abdul Mumin","1998-06-06","CB"
"2128","Rubén García","1993-07-13","RW"
"2129","Luis Milla","1994-10-07","CM"
"2130","Alejandro Revuelta Montero","2000-04-15","CB"
"2131","Arnaut Groeneveld","1997-01-30","FW"
"2132","José Luis Morales","1987-07-23","LM"
"2133","Nemanja Gudelj","1991-11-16","DM"
"2134","Jesús Navas","1985-11-21","RW"
"2135","Marko Dmitrović","1992-01-24","GK"
"2136","Suso","1993-11-19","RW"
"2137","Tanguy Nianzou","2002-06-07","DM"
"2138","Martín Montoya","1991-04-14","RB"
"2139","Willian José","1991-11-23","LW"
"2140","Toni Villa","1995-01-07","RW"
"2141","Manu Vallejo","1997-02-13","LW"
"2142","David Silva","1986-01-08","CM"
"2143","Igor Zubeldia","1997-03-29","RM"
"2144","Mohamed Ali Cho","2004-01-19","CM"
"2145","Beñat Turrientes","2002-01-31","FW"
"2146","Brian Oliván","1994-04-01","LW"
"2147","Omar El Hilali","2003-09-12","RB"
"2148","Pol Lozano","1999-10-06","CM"
"2149","Aleix Vidal","1989-08-20","RB"
"2150","Antoine Griezmann","1991-03-21","LM"
"2151","Marcos Llorente","1995-01-30","WB"
"2152","Felipe","1989-05-15","CB"
"2153","Axel Witsel","1989-01-11","CM"
"2154","Yannick Carrasco","1993-09-03","WB"
"2155","Yannick Carrasco","1993-09-03","LM"
"2156","Reinildo Mandava","1994-01-21","LB"
"2157","Ángel Correa","1995-03-09","RM"
"2158","Marco Asensio","1996-01-21","FW"
"2159","Antonio Rüdiger","1993-03-02","LB"
"2160","Mikel Vesga","1993-05-20","LM"
"2161","Oier Zarraga","1999-01-04","LM"
"2162","Asier Villalibre","1997-09-29","FW"
"2163","Ander Herrera","1989-08-13","RM"
"2164","Aitor Paredes","2000-04-28","CB"
"2165","Lázaro","2002-03-12","FW"
"2166","Houboulang Mendes","1998-05-04","RB"
"2167","Íñigo Eguaras","1992-03-06","LM"
"2168","Adri Embarba","1992-05-06","LM"
"2169","Adri Embarba","1992-05-06","FW"
"2170","Léo Baptistão","1992-08-25","RM"
"2171","Léo Baptistão","1992-08-25","CM"
"2172","Arnau Puigmal","2001-01-09","CM"
"2173","Rubén Alcaraz","1991-05-01","CM"
"2174","Rubén Sobrino","1992-05-31","FW"
"2175","Rubén Sobrino","1992-05-31","LM"
"2176","Joseba Zaldúa","1992-06-23","RM"
"2177","Álex Fernández","1992-10-14","FW"
"2178","Lucas Pérez","1988-09-09","CM"
"2179","Giovani Lo Celso","1996-04-08","RM"
"2180","Arnaut Groeneveld","1997-01-30","LM"
"2181","Samuel Chukwueze","1999-05-22","FW"
"2182","José Luis Morales","1987-07-23","RM"
"2183","Latasa","2001-03-22","LB"
"2184","Stefan Mitrović","1990-05-22","CM"
"2185","Álvaro Aguado","1996-04-30","LM"
"2186","Zouhair Feddal","1988-12-31","CB"
"2187","Karim Rekik","1994-12-02","LB"
"2188","Érik Lamela","1992-03-03","RM"
"2189","Isco","1992-04-20","CM"
"2190","Papu Gómez","1988-02-15","LM"
"2191","Koke","1992-01-08","RM"
"2192","Matheus Cunha","1999-05-27","LM"
"2193","Marcos Llorente","1995-01-30","RM"
"2194","Nahuel Molina","1998-04-06","CB"
"2195","Axel Witsel","1989-01-11","DM"
"2196","Braian Cufré","1996-12-14","LB"
"2197","Lago Junior","1990-12-31","RM"
"2198","Lago Junior","1990-12-31","CM"
"2199","Dani Rodríguez","1988-06-05","RM"
"2200","Alejandro Balde","2003-10-18","RB"
"2201","Pedri","2002-11-25","RM"
"2202","Raphinha","1996-12-13","LW"
"2203","Fernando Calero","1995-09-14","RB"
"2204","Sergi Darder","1993-12-22","DM"
"2205","Edu Expósito","1996-07-31","AM"
"2206","Pol Lozano","1999-10-06","DM"
"2207","Keidi Bare","1997-08-27","AM"
"2208","Nico Ribaudo","2001-04-10","RW"
"2209","Nico Ribaudo","2001-04-10","RM"
"2210","Aleix Vidal","1989-08-20","RW"
"2211","Wassim Boullif","2005-02-02","DM"
"2212","Hugo Duro","1999-11-10","LM"
"2213","Renato Tapia","1995-07-28","CM"
"2214","Luca de la Torre","1998-05-23","RM"
"2215","Paul Akouokou","1997-12-20","CM"
"2216","Sergio Canales","1991-02-16","LM"
"2217","Rodrigo","2000-05-15","RM"
"2218","Rodrigo","2000-05-15","FW"
"2219","Joaquín","1981-07-20","RM"
"2220","Valery","1999-11-23","RM"
"2221","Yangel Herrera","1998-01-07","FW"
"2222","Oscar Ureña","2003-01-01","CM"
"2223","Martín Zubimendi","1999-02-02","CM"
"2224","Mikel Merino","1996-06-21","CM"
"2225","David Silva","1986-01-08","LM"
"2226","Carlos Fernández","1996-05-21","FW"
"2227","Ander Guevara","1997-07-06","CB"
"2228","Andriy Lunin","1999-02-11","GK"
"2229","Marco Asensio","1996-01-21","RM"
"2230","Marco Asensio","1996-01-21","CM"
"2231","Eduardo Camavinga","2002-11-10","CM"
"2232","Federico Valverde","1998-07-22","CM"
"2233","Federico Valverde","1998-07-22","DM"
"2234","Mariano","1993-07-31","FW"
"2235","Lucas Torró","1994-07-19","CB"
"2236","Aimar Oroz","2001-11-27","CM"
"2237","Aimar Oroz","2001-11-27","LM"
"2238","Aridane Hernández","1989-03-22","CB"
"2239","Salvi","1991-03-30","LW"
"2240","Federico Fernández","1989-02-20","CB"
"2241","Pere Milla","1992-09-22","CM"
"2242","Tete Morente","1996-12-03","FW"
"2243","Abdessamad Ezzalzouli","2001-12-17","RW"
"2244","Ezequiel Ávila","1994-02-06","LW"
"2245","Rubén García","1993-07-13","LM"
"2246","Rubén García","1993-07-13","CM"
"2247","Ilaix Moriba","2003-01-19","CM"
"2248","Justin Kluivert","1999-05-05","RM"
"2249","Domingos André Ribeiro Almeida","2000-05-29","FW"
"2250","Toni Lato","1997-11-21","CM"
"2251","Dimitri Foulquier","1993-03-22","RM"
"2252","Gonzalo Melero","1994-01-02","DM"
"2253","El Bilal Touré","2001-10-02","FW"
"2254","Kaiky","2004-01-12","RB"
"2255","Íñigo Eguaras","1992-03-06","AM"
"2256","Alejandro Pozo Pozo","1999-02-22","DM"
"2257","Samu Costa","2000-11-26","RW"
"2258","Diego López","1981-11-03","GK"
"2259","Isaac Palazón Camacho","1994-12-27","RM"
"2260","Óscar Trejo","1988-04-25","FW"
"2261","Salvi","1991-03-30","LM"
"2262","Unai López","1995-10-30","CM"
"2263","Pathé Ciss","1994-03-16","CM"
"2264","Santi Comesaña","1996-10-04","CM"
"2265","Radamel Falcao","1986-02-10","LM"
"2266","Bebé","1990-07-12","FW"
"2267","Randy Ntekja","1997-12-06","RM"
"2268","Óscar Valentín","1994-08-20","CB"
"2269","Rodrigo Riquelme","2000-04-01","FW"
"2270","Cristhian Stuani","1986-10-12","CM"
"2271","Ramón Terrats","2000-10-17","CB"
"2272","Valery","1999-11-23","RB"
"2273","Toni Villa","1995-01-07","FW"
"2274","Yan Couto","2002-06-03","LB"
"2275","Gonzalo Montiel","1996-12-31","WB"
"2276","Alex Telles","1992-12-14","CM"
"2277","Kasper Dolberg","1997-10-05","FW"
"2278","Óliver Torres","1994-11-10","CM"
"2279","Marcão","1996-06-04","CB"
"2280","Papu Gómez","1988-02-15","RW"
"2281","Érik Lamela","1992-03-03","AM"
"2282","Marcos Acuña","1991-10-28","WB"
"2283","Raúl García","1986-07-11","LW"
"2284","Jordan Amavi","1994-03-09","LB"
"2285","Luka Modrić","1985-09-08","LM"
"2286","Marco Asensio","1996-01-21","RW"
"2287","Shon Weissman","1996-02-14","LM"
"2288","Sergi Guardiola","1991-05-29","RM"
"2289","Juanjo Narváez","1995-02-12","RM"
"2290","Víctor Ruiz","1989-01-24","CB"
"2291","Aitor Ruibal","1996-03-21","RW"
"2292","Brian Ocampo","1999-06-25","RM"
"2293","Óscar Gil","1997-04-25","AM"
"2294","Javi Puado","1998-05-25","LW"
"2295","Takefusa Kubo","2001-06-03","CM"
"2296","Roberto Navarro","2002-04-12","CM"
"2297","Beñat Turrientes","2002-01-31","RM"
"2298","Marcos Alonso","1990-12-28","CB"
"2299","Augusto Solari","1992-01-03","CM"
"2300","Domingos Quina","1999-11-18","RM"
"2301","Braian Cufré","1996-12-14","WB"
"2302","Iñigo Ruiz de Galarreta","1993-08-05","DM"
"2303","Antonio Sánchez","1996-12-31","AM"
"2304","Pablo Maffeo","1997-07-11","WB"
"2305","Lee Kangin","2001-02-18","AM"
"2306","Lee Kangin","2001-02-18","LW"
"2307","Clément Grenier","1991-01-07","DM"
"2308","Dani Rodríguez","1988-06-05","LW"
"2309","Rodrigo Battaglia","1991-07-12","DM"
"2310","Ángel Rodríguez","1987-04-26","AM"
"2311","Amath","1996-07-15","RW"
"2312","Amath","1996-07-15","AM"
"2313","Bebé","1990-07-12","LW"
"2314","Portu","1992-05-20","FW"
"2315","Aleix García","1997-06-27","LM"
"2316","Cristhian Stuani","1986-10-12","CB"
"2317","Valery","1999-11-23","LB"
"2318","Manu Vallejo","1997-02-13","CM"
"2319","Brian Ocampo","1999-06-25","FW"
"2320","Cala","1989-11-26","CB"
"2321","Cala","1989-11-26","RM"
"2322","Toni Lato","1997-11-21","LM"
"2323","Toni Lato","1997-11-21","RW"
"2324","Ilaix Moriba","2003-01-19","RM"
"2325","Francisco Perez","2002-09-09","LM"
"2326","Ezequiel Ponce","1997-03-28","RB"
"2327","Nicolás Ezequiel Fernández","2000-01-11","LM"
"2328","Nicolás Ezequiel Fernández","2000-01-11","RM"
"2329","Braian Cufré","1996-12-14","LM"
"2330","Pablo Maffeo","1997-07-11","RM"
